,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
hsa05164,hsa05164,Influenza A,5/22,171/8113,7.72435181392991E-05,0.00502082867905444,0.00439068418897069,3127/60/4599/3665/4938,5
hsa05162,hsa05162,Measles,4/22,139/8113,0.000474865036777283,0.0154331136952617,0.0134961642031438,4599/2353/3665/4938,4
hsa05140,hsa05140,Leishmaniasis,3/22,77/8113,0.00111180013677949,0.0247789475835021,0.0216690391823338,3127/653361/2353,3
hsa04612,hsa04612,Antigen processing and presentation,3/22,78/8113,0.00115424375305609,0.0247789475835021,0.0216690391823338,972/3127/5720,3
hsa04662,hsa04662,B cell receptor signaling pathway,3/22,82/8113,0.00133425102372704,0.0247789475835021,0.0216690391823338,8519/971/2353,3
